"Site","X","Y","Study_Year","Sampling_Method","Mean_Stand_NPerEffort","Mean_SqrtStand_NPerEffort","Mean_FourthStand_NPerEffort","Mean_LogStand_NPerEffort","Study","Crop","LC1Gau250","LC2Gau250","LC3Gau250","LC4Gau250","LC5Gau250","LC6Gau250","LC7Gau250","LC8Gau250","LC9Gau250","LC1Gau750","LC2Gau750","LC3Gau750","LC4Gau750","LC5Gau750","LC6Gau750","LC7Gau750","LC8Gau750","LC9Gau750","LC1Gau1250","LC2Gau1250","LC3Gau1250","LC4Gau1250","LC5Gau1250","LC6Gau1250","LC7Gau1250","LC8Gau1250","LC9Gau1250","Study_ID","Farm","Coordinate_Format","Crop_Species","Annual_Perennial","Organic","Local_Diversity","Insecticide_Plot","Insecticide_Farm","Confidence_Insecticide","Tilling","Site_Covariate1","Site_Covariate2","Tilling.1","Crop.tolerance","X_up","Y_up"
"pa",-121.2723167,36.69416111,"2014","lettuce head",1.24484018853313,1.51015830853209,1.46603504598411,NA,"karp01","lactuva sativa",0.00300583241522453,0.145013820674355,0.00683851029020187,0.586806522062771,0.207677473266814,0.0500714418896092,0.000586399401024582,0,0,0.0396520978405919,0.364412186788827,0.037374215039667,0.390779622143759,0.126456615094282,0.0272028061959771,0.014122456896896,0,0,0.0575013700023769,0.402373508425793,0.0488539525480973,0.352755100780579,0.0905054043547107,0.0232750758637978,0.0247355880246461,0,0,"karp01","paicines","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.27231659,36.69416111
"paa",-121.2778333,36.69691667,"2014","lettuce head",-0.540817459799742,-0.740014773852439,-0.79091570226026,NA,"karp01","lactuva sativa",0.00809093932182839,0.0217101180038063,0.0332424994521576,0.909717367802032,0.00358438425378427,0.0236523342324693,2.35693392195776e-06,0,0,0.0694672976032791,0.250470898318536,0.0633425436763468,0.496932747769957,0.0741722375986602,0.0287710060829708,0.01684326895025,0,0,0.0898505085060826,0.32848588204756,0.0566024290217255,0.396824372713264,0.0753020963386669,0.02447607636711,0.0284586350055905,0,0,"karp01","paicines","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.27783318,36.69691667
"pd",-121.5209722,36.5680499999999,"2014","lettuce head",-0.316170207267541,-0.0491599759866026,0.213565114479762,NA,"karp01","lactuva sativa",0,0.0185001935320236,0.000816173182984359,0.711826495673583,0,0.0138076490630208,0.255049488548388,0,0,0,0.0133441441309187,0.00254924035818897,0.809960157591756,0,0.024789326359691,0.149357131559445,0,0,0,0.00762874172606567,0.00415439505721293,0.870067995283341,0,0.0227197135729991,0.0954291543603813,0,0,"karp01","pederson","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.52097207,36.5680499999999
"pda",-121.53175,36.5722,"2014","lettuce head",-0.546577645762106,-0.797374274862773,-0.93261740485657,NA,"karp01","lactuva sativa",9.93434153228413e-09,0.0135594381348457,5.12944818608573e-05,0.972766362402798,0,0.0114929098515155,0.00212998519463836,0,0,0.00317712910097332,0.0201082544726749,0.0136903746173778,0.88515700717341,0,0.0238857804484766,0.0539814541870876,0,0,0.00711798634915459,0.0211781425542018,0.0268488739613413,0.858622429590295,0,0.0234331127976323,0.0627994547473751,0,0,"karp01","pederson","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.53174986,36.5722
"pdh",-121.5278667,36.57748333,"2014","lettuce head",-0.506256344025557,-0.544177187572006,-0.422006559701668,NA,"karp01","lactuva sativa",4.14181343851365e-10,0.0039154309441433,0.00445719261262979,0.856939495308717,0,0.00457395807409524,0.130113922646233,0,0,0.00135073239203289,0.0135284942295393,0.00787144695875626,0.887719446713842,0,0.0145627612146138,0.0749671184912154,0,0,0.00371691543477702,0.0145675149440931,0.0140728630393988,0.877215176480909,0,0.0183335238020697,0.0720940062987524,0,0,"karp01","pederson","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.52786655,36.57748333
"pin",-121.5003833,36.8598,"2014","lettuce head",-0.535057273837377,-0.696001280710204,-0.69590206896039,NA,"karp01","lactuva sativa",0.041602488222451,0.132226532519643,0.0863590881620798,0.522851476511369,0.168156296574295,0.010916180245629,0.0378879377645332,0,0,0.0248769536924269,0.308602584140089,0.0669454768015535,0.381328917028292,0.150787205692805,0.0143480876762719,0.0531107749685625,0,0,0.0191359101904174,0.349610474015788,0.0503169272447769,0.401336091331271,0.120741797146653,0.0115099435822866,0.0473488564888068,0,0,"karp01","pinnacle","decimal degrees","lactuva sativa","annual","yes","diverse","yes","yes",100,"yes",NA,NA,"yes","no",-121.50038314,36.8598
"pio",-121.7757333,36.9689166699999,"2014","lettuce head",-0.368011880928818,-0.152502015011139,0.0997097529881221,NA,"karp01","lactuva sativa",0.0470466098172405,0.122088365453519,0.0341780294821641,0.513481473030334,0.0450446668899563,0.0439090925666849,0.194251762760101,0,0,0.16637226811555,0.153364251090921,0.0152185707299157,0.272093505245046,0.0526654445913753,0.0333189482307558,0.306967011996436,0,0,0.161928255941271,0.147415638410843,0.014283407028295,0.235766410565751,0.0537398591067468,0.0364645046033901,0.350401924343703,0,0,"karp01","pioneer","decimal degrees","lactuva sativa","annual","yes","diverse","yes","yes",100,"yes",NA,NA,"yes","no",-121.77573313,36.9689166699999
"pn",-121.5008667,36.8587722199999,"2014","lettuce head",3.45099141211859,2.71482499750239,2.16379052236076,NA,"karp01","lactuva sativa",0.0257006605635682,0.0664096331166741,0.0390809635720774,0.624837264843803,0.1982760033492,0.00537524164108523,0.0403202329135919,0,0,0.0234870340460229,0.257449821974576,0.0610839560871922,0.415310930224674,0.16899232644445,0.0136951547916219,0.0599807764314625,0,0,0.0185428250255314,0.308067629212774,0.048422028968332,0.433712475424102,0.128801282662741,0.0114202576858106,0.0510335010207086,0,0,"karp01","pinnacle","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.50086652,36.8587722199999
"prv",-121.2872667,36.7041499999999,"2014","lettuce head",-0.500496158063193,-0.520418104322573,-0.384367166920107,NA,"karp01","lactuva sativa",0.231832823621472,0.209590825289846,0.0857208918819379,0.435311152157905,2.83824381727985e-08,0.0374404025853314,0.000103876081070244,0,0,0.188889663304561,0.290604652070951,0.0763331569490211,0.383765892840428,0.011472048743595,0.0228157066253068,0.0261188794661368,0,0,0.17344770332368,0.347835088763209,0.0594402756607905,0.324268180148063,0.0311761008532222,0.0220631399644687,0.0417695112865664,0,0,"karp01","paicines","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.28726651,36.7041499999999
"rv",-121.5464889,36.55275833,"2014","lettuce head",-0.477455414213736,-0.436562523163453,-0.259463075513282,NA,"karp01","lactuva sativa",0.127118701244064,0.092394695070711,0.24074742052009,0.414159367032456,0.00177883309582339,0.0914649031344226,0.0323360799024335,0,0,0.0759796291658724,0.132087346530616,0.0871234730241218,0.594831442127114,0.029512533849646,0.0550924867744266,0.0253730885282039,0,0,0.0838323184076697,0.165573991139361,0.0677940422394774,0.591007187057079,0.023799473366,0.0401651218349087,0.0278278659555034,0,0,"karp01","river","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.5464887,36.55275833
"rvn",-121.5476,36.5686,"2014","lettuce head",1.59621153223734,1.73860369247432,1.60973870602533,NA,"karp01","lactuva sativa",0.0170214242866871,0.068500196416975,0.147702098264748,0.709331413712615,1.06680236665042e-06,0.0572515098825016,0.000192290634106378,0,0,0.0298062853558579,0.0610840718182118,0.0852737487894399,0.767042692005318,0.00442834813366453,0.0439856669822724,0.00837918691523503,0,0,0.028153691992504,0.0796657857368847,0.0759293038192442,0.754409175677806,0.00603337306629516,0.0396027769053955,0.0162058928018703,0,0,"karp01","river","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.54759979,36.5686
"rvs",-121.5476333,36.5549666699999,"2014","lettuce head",-0.540817459799742,-0.740014773852439,-0.79091570226026,NA,"karp01","lactuva sativa",0.115887460869403,0.101284210209277,0.200420514080249,0.501089114089005,0.00242850196378582,0.0655620322680603,0.0133281665202191,0,0,0.0703788269432104,0.137518921929059,0.0804665161225511,0.606783467353054,0.027277759826517,0.0498028022264519,0.0277717055991569,0,0,0.0751319322566534,0.166842166784851,0.0624129989226764,0.59992962087383,0.0230499440860573,0.0402175270963884,0.0324158099795438,0,0,"karp01","river","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.54763308,36.5549666699999
"sar",-121.552449999999,36.5495833299999,"2014","lettuce head",-0.517776715950285,-0.596651710663509,-0.509412140582263,NA,"karp01","lactuva sativa",0.0436353738445155,0.153451954675135,0.0352111621951454,0.636041153652618,0.100350323719468,0.0281235554180343,0.0031864764950837,0,0,0.143569921802354,0.265863217313999,0.0898880885171871,0.385019065986568,0.0446030875580214,0.0400389940558032,0.031017624766067,0,0,0.164940298504041,0.243823369493232,0.107996834617718,0.385183957478023,0.0274173120245839,0.0342770702265917,0.0363611576558099,0,0,"karp01","sargenti","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.552449769999,36.5495833299999
"sf",-121.2892917,36.68515,"2014","lettuce head",-0.2585683476439,0.0530789747452004,0.319841576483436,NA,"karp01","lactuva sativa",0.260333884152516,0.15293840616855,0.144638439233078,0.430213285118977,0.00118606066401262,0.00739042853977078,0.0032994961230947,0,0,0.281445544480541,0.174365699939004,0.153044386857462,0.280132310025789,0.0460307473698328,0.0106357977784531,0.0543455135489175,0,0,0.26487183461637,0.195807837194646,0.177540342013868,0.251149149851304,0.0510967711441582,0.00965417323573486,0.0498798919439193,0,0,"karp01","spanish flats","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.28929146,36.68515
"sg",-121.5525083,36.549525,"2014","lettuce head",0.179205785495772,0.624716405641094,0.832593500808309,NA,"karp01","lactuva sativa",0.0432724712084277,0.158552113190117,0.0326378797422316,0.632375641618534,0.101864607674811,0.0278891066321738,0.00340817993370515,0,0,0.144857326760484,0.267225489551776,0.090040529836491,0.382402892004498,0.0446651080768868,0.0397511360017754,0.0310575177680891,0,0,0.166162263118727,0.244291573885799,0.108591320439916,0.383048149207554,0.0274024706649079,0.0341538560128948,0.0363503666702013,0,0,"karp01","sargenti","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.55250805,36.549525
"sw",-121.502272199999,36.5774166699999,"2014","lettuce head",-0.304649835342813,-0.0277908290111415,0.236265044046725,NA,"karp01","lactuva sativa",0,0.0297183298251654,0.0156402348344667,0.905571924655292,0.000150963370209983,0.0478823659081484,0.00103618140671765,0,0,0,0.0056831371530462,0.0138350014896562,0.900027166822867,0.0282195696061937,0.0267796487188156,0.0254554762094213,0,0,0,0.00314620240362036,0.00869215102636082,0.873880587501827,0.045620432096772,0.0233908691320034,0.0452697578394164,0,0,"karp01","swale","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.502271939999,36.5774166699999
"sz",-121.6275389,36.5890638899999,"2014","lettuce head",-0.500496158063193,-0.520418104322573,-0.384367166920107,NA,"karp01","lactuva sativa",0.244925940340194,0.0481175096472646,0.00178022574324505,0.36972855655658,0,0.0184418935919986,0.317005874120718,0,0,0.173020977249454,0.151301596550217,0.0626672462314693,0.293877051988921,0,0.0153127551148625,0.303820372865076,0,0,0.188784892203458,0.165817459381703,0.114929611121329,0.273144412113318,0,0.0164537509398468,0.240869874240345,0,0,"karp01","sainz","decimal degrees","lactuva sativa","annual","yes","simple","yes","yes",100,"yes",NA,NA,"yes","no",-121.62753863,36.5890638899999
